season,week,date,time,away_team,home_team,game_url
2010,10,2010-11-14,4:05PM,Kansas City Chiefs,Denver Broncos,https://www.pro-football-reference.com/boxscores/201011140den.htm
2010,10,2010-11-14,4:15PM,Seattle Seahawks,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201011140crd.htm
2010,10,2010-11-14,4:15PM,Dallas Cowboys,New York Giants,https://www.pro-football-reference.com/boxscores/201011140nyg.htm
2010,10,2010-11-14,4:15PM,St. Louis Rams,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201011140sfo.htm
2010,10,2010-11-14,8:30PM,New England Patriots,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201011140pit.htm
2010,10,2010-11-15,8:40PM,Philadelphia Eagles,Washington Redskins,https://www.pro-football-reference.com/boxscores/201011150was.htm
2010,11,2010-11-18,8:29PM,Chicago Bears,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201011180mia.htm
2010,11,2010-11-21,1:02PM,Buffalo Bills,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201011210cin.htm
2010,11,2010-11-21,1:02PM,Detroit Lions,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201011210dal.htm
2010,11,2010-11-21,1:02PM,Oakland Raiders,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201011210pit.htm
2010,11,2010-11-21,1:03PM,Cleveland Browns,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201011210jax.htm
2010,11,2010-11-21,1:03PM,Arizona Cardinals,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201011210kan.htm
2010,11,2010-11-21,1:03PM,Houston Texans,New York Jets,https://www.pro-football-reference.com/boxscores/201011210nyj.htm
2010,11,2010-11-21,1:03PM,Washington Redskins,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201011210oti.htm
2010,11,2010-11-21,1:04PM,Baltimore Ravens,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201011210car.htm
2010,11,2010-11-21,1:05PM,Green Bay Packers,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201011210min.htm
2010,11,2010-11-21,4:05PM,Atlanta Falcons,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201011210ram.htm
2010,11,2010-11-21,4:05PM,Seattle Seahawks,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201011210nor.htm
2010,11,2010-11-21,4:05PM,Tampa Bay Buccaneers,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201011210sfo.htm
2010,11,2010-11-21,4:15PM,Indianapolis Colts,New England Patriots,https://www.pro-football-reference.com/boxscores/201011210nwe.htm
2010,11,2010-11-21,8:30PM,New York Giants,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201011210phi.htm
2010,11,2010-11-22,8:40PM,Denver Broncos,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201011220sdg.htm
2010,12,2010-11-25,12:38PM,New England Patriots,Detroit Lions,https://www.pro-football-reference.com/boxscores/201011250det.htm
